Manufacturer,Color Number,Color Name,Locator,Red Value,Green Value,Blue Value,Hex
Sherwin Williams,SW6009,Imagine,231-C2,194,182,182,C2B6B6
Sherwin Williams,SW6010,Flexible Gray,231-C3,177,163,161,B1A3A1
Sherwin Williams,SW6011,Chinchilla,231-C5,134,120,117,867875
Sherwin Williams,SW6012,Browse Brown,231-C6,110,97,95,6E615F
Sherwin Williams,SW6013,Bitter Chocolate,231-C7,77,60,60,4D3C3C
Sherwin Williams,SW6015,Vaguely Mauve,230-C1,209,197,196,D1C5C4
Sherwin Williams,SW6016,Chaise Mauve,230-C2,193,178,179,C1B2B3
Sherwin Williams,SW6017,Intuitive,230-C3,179,163,165,B3A3A5
Sherwin Williams,SW6018,Enigma,230-C5,139,124,126,8B7C7E
Sherwin Williams,SW6019,Poetry Plum,230-C6,111,92,95,6F5C5F
Sherwin Williams,SW6020,Marooned,230-C7,78,49,50,4E3132
Sherwin Williams,SW6021,Dreamy White,274-C4,227,217,213,E3D9D5
Sherwin Williams,SW6022,Breathless,191-C1,214,194,190,D6C2BE
Sherwin Williams,SW6023,Insightful Rose,191-C2,201,176,171,C9B0AB
Sherwin Williams,SW6024,Dressy Rose,191-C3,184,157,154,B89D9A
Sherwin Williams,SW6025,Socialite,191-C5,144,118,118,907676
Sherwin Williams,SW6026,River Rouge,191-C6,118,89,93,76595D
Sherwin Williams,SW6027,Cordovan,191-C7,95,61,63,5F3D3F
Sherwin Williams,SW6028,Cultured Pearl,260-C3,229,220,214,E5DCD6
Sherwin Williams,SW6029,White Truffle,192-C1,215,200,194,D7C8C2
Sherwin Williams,SW6030,Artistic Taupe,192-C2,195,177,172,C3B1AC
Sherwin Williams,SW6031,Glamour,192-C3,182,160,154,B6A09A
Sherwin Williams,SW6032,Dutch Cocoa,192-C5,140,112,106,8C706A
Sherwin Williams,SW6033,Bateau Brown,192-C6,122,95,90,7A5F5A
Sherwin Williams,SW6034,Dark Auburn,192-C7,90,53,50,5A3532
Sherwin Williams,SW6035,Gauzy White,260-C6,227,219,212,E3DBD4
Sherwin Williams,SW6036,Angora,232-C1,209,197,190,D1C5BE
Sherwin Williams,SW6037,Temperate Taupe,232-C2,191,177,170,BFB1AA
Sherwin Williams,SW6038,Truly Taupe,232-C3,172,158,151,AC9E97
Sherwin Williams,SW6039,Poised Taupe,232-C5,140,126,120,8C7E78
Sherwin Williams,SW6040,Nutshell,232-C6,117,103,97,756761
Sherwin Williams,SW6041,Otter,232-C7,86,67,59,56433B
Sherwin Williams,SW6042,Hush White,274-C3,229,218,212,E5DAD4
Sherwin Williams,SW6043,Unfussy Beige,193-C1,214,200,192,D6C8C0
Sherwin Williams,SW6044,Doeskin,193-C2,198,179,169,C6B3A9
Sherwin Williams,SW6045,Emerging Taupe,193-C3,184,161,150,B8A196
Sherwin Williams,SW6046,Swing Brown,193-C5,148,117,105,947569
Sherwin Williams,SW6047,Hot Cocoa,193-C6,128,98,87,806257
Sherwin Williams,SW6048,Terra Brun,193-C7,90,56,45,5A382D
Sherwin Williams,SW6049,Gorgeous White,274-C2,231,219,211,E7DBD3
Sherwin Williams,SW6050,Abalone Shell,194-C1,219,199,189,DBC7BD
Sherwin Williams,SW6051,Sashay Sand,194-C2,207,180,168,CFB4A8
