Manufacturer,Color Name,Color Number,Red Value,Green Value,Blue Value,Hex
Benjamin Moore,Tangerine,83,246,134,92,F6865C
Benjamin Moore,Fiesta,84,241,119,76,F1774C
Benjamin Moore,Amelia,85,248,231,212,F8E7D4
Benjamin Moore,Apricot,86,250,226,204,FAE2CC
Benjamin Moore,Juno,87,251,218,192,FBDAC0
Benjamin Moore,Summer,88,255,203,169,FFCBA9
Benjamin Moore,Tooty,89,251,183,138,FBB78A
Benjamin Moore,Butterfly,90,253,166,117,FDA675
Benjamin Moore,Tangerine,91,248,132,70,F88446
Benjamin Moore,Arizona,92,248,231,209,F8E7D1
Benjamin Moore,Winter,93,251,227,201,FBE3C9
Benjamin Moore,Peach,94,251,218,189,FBDABD
Benjamin Moore,Sunfish,95,249,209,179,F9D1B3
Benjamin Moore,Soft,96,245,198,161,F5C6A1
Benjamin Moore,Hugs,97,239,176,133,EFB085
Benjamin Moore,Bryce,98,209,124,82,D17C52
Benjamin Moore,Candle,99,247,225,205,F7E1CD
Benjamin Moore,Golden,100,242,213,193,F2D5C1
Benjamin Moore,Melon,101,241,207,183,F1CFB7
Benjamin Moore,Casabella,102,221,171,135,DDAB87
Benjamin Moore,Sweet,103,219,156,115,DB9C73
Benjamin Moore,Sienna,104,190,120,81,BE7851
Benjamin Moore,Terra,105,157,97,65,9D6141
Benjamin Moore,Melon,106,247,225,201,F7E1C9
Benjamin Moore,Wellesley,107,242,214,184,F2D6B8
Benjamin Moore,Desert,108,242,203,168,F2CBA8
Benjamin Moore,Canyonlands,109,232,180,137,E8B489
Benjamin Moore,Starfish,110,223,162,116,DFA274
Benjamin Moore,Rio,111,213,147,99,D59363
Benjamin Moore,Peach,112,203,132,85,CB8455
Benjamin Moore,Pumpkin,113,248,233,207,F8E9CF
Benjamin Moore,Beachcrest,114,247,223,192,F7DFC0
Benjamin Moore,Peach,115,248,215,178,F8D7B2
Benjamin Moore,Crestwood,116,241,202,162,F1CAA2
Benjamin Moore,Persian,117,231,184,138,E7B88A
Benjamin Moore,Grand,118,222,158,102,DE9E66
Benjamin Moore,Cornucopia,119,209,135,79,D1874F
Benjamin Moore,Delicate,120,251,225,194,FBE1C2
Benjamin Moore,Sweet,121,252,217,175,FCD9AF
Benjamin Moore,Orange,122,255,210,166,FFD2A6
Benjamin Moore,Citrus,123,245,193,140,F5C18C
Benjamin Moore,Orange,124,238,168,105,EEA869
Benjamin Moore,Antelope,125,240,164,98,F0A462
Benjamin Moore,Pumpkin,126,216,139,76,D88B4C
Benjamin Moore,Peach,127,249,236,211,F9ECD3
Benjamin Moore,Florida,128,250,228,199,FAE4C7
Benjamin Moore,Tangerine,129,255,218,176,FFDAB0
Benjamin Moore,Peach,130,254,207,159,FECF9F
Benjamin Moore,Seville,131,250,188,129,FABC81
Benjamin Moore,Tangerine,132,254,177,110,FEB16E
Benjamin Moore,New,133,248,150,72,F89648
Benjamin Moore,Georgia,134,251,231,207,FBE7CF
Benjamin Moore,Peach,135,249,222,193,F9DEC1
Benjamin Moore,Apricot,136,253,211,172,FDD3AC
Benjamin Moore,Peach,137,255,200,156,FFC89C
Benjamin Moore,Vivid,138,254,182,129,FEB681
Benjamin Moore,Party,139,253,164,104,FDA468
Benjamin Moore,Fruit,140,246,141,65,F68D41
Benjamin Moore,Citrus,141,250,233,197,FAE9C5
Benjamin Moore,Pineapple,142,251,225,179,FBE1B3
Benjamin Moore,Golden,143,254,221,169,FEDDA9
Benjamin Moore,Honey,144,253,208,143,FDD08F
Benjamin Moore,Honeybell,145,252,189,108,FCBD6C
Benjamin Moore,Golden,146,249,173,88,F9AD58
Benjamin Moore,Fruity,147,250,158,73,FA9E49
Benjamin Moore,Porter,148,253,236,201,FDECC9
Benjamin Moore,Sun,149,255,228,178,FFE4B2
Benjamin Moore,Peach,150,254,225,176,FEE1B0
Benjamin Moore,Orange,151,255,218,160,FFDAA0
Benjamin Moore,Florida,152,254,202,132,FECA84
Benjamin Moore,Fresh,153,255,197,121,FFC579
Benjamin Moore,Mango,154,255,169,79,FFA94F
Benjamin Moore,Point,155,246,233,207,F6E9CF
Benjamin Moore,Sweet,156,254,225,182,FEE1B6
Benjamin Moore,Cantaloupe,157,255,220,175,FFDCAF
Benjamin Moore,Pineapple,158,251,213,165,FBD5A5
Benjamin Moore,Peach,159,246,196,131,F6C483
Benjamin Moore,Soft,160,241,187,120,F1BB78
Benjamin Moore,Brilliant,161,228,155,81,E49B51
Benjamin Moore,Corinthian,162,247,235,203,F7EBCB
Benjamin Moore,Somerset,163,248,228,192,F8E4C0
Benjamin Moore,Birmingham,164,246,220,177,F6DCB1
Benjamin Moore,Glowing,165,244,208,157,F4D09D
Benjamin Moore,Orange,166,236,189,128,ECBD80
Benjamin Moore,Old,167,226,169,100,E2A964
Benjamin Moore,Amber,168,198,131,65,C68341
Benjamin Moore,Aura,169,248,232,198,F8E8C6
Benjamin Moore,Traditional,170,247,226,171,F7E2AB
Benjamin Moore,Sweet,171,253,220,149,FDDC95
Benjamin Moore,Sunny,172,253,207,116,FDCF74
Benjamin Moore,Happily,173,255,202,100,FFCA64
Benjamin Moore,Sunflower,174,246,182,80,F6B650
Benjamin Moore,Mayan,175,224,164,75,E0A44B
Benjamin Moore,Goldtone,176,247,234,197,F7EAC5
Benjamin Moore,Mushroom,177,245,227,182,F5E3B6
Benjamin Moore,Golden,178,242,220,171,F2DCAB
Benjamin Moore,Honeywheat,179,247,216,152,F7D898
Benjamin Moore,Beverly,180,242,203,128,F2CB80
Benjamin Moore,Pan,181,237,180,94,EDB45E
Benjamin Moore,Glowing,182,214,158,79,D69E4F
Benjamin Moore,Morning,183,247,237,212,F7EDD4
Benjamin Moore,Ivory,184,243,231,201,F3E7C9
Benjamin Moore,Precious,185,242,221,182,F2DDB6
Benjamin Moore,Harvest,186,235,208,161,EBD0A1
Benjamin Moore,Goldfinch,187,230,197,140,E6C58C
Benjamin Moore,Eye,188,228,179,112,E4B370
Benjamin Moore,Morgan,189,209,161,92,D1A15C
Benjamin Moore,Pearly,190,248,238,214,F8EED6
Benjamin Moore,Macadamia,191,245,227,193,F5E3C1
Benjamin Moore,Key,192,238,214,173,EED6AD
Benjamin Moore,Dijon,193,226,195,140,E2C38C
Benjamin Moore,Hathaway,194,214,176,113,D6B071
Benjamin Moore,French,195,192,151,83,C09753
Benjamin Moore,Goldenhurst,196,177,136,74,B1884A
Benjamin Moore,America's,197,246,234,195,F6EAC3
Benjamin Moore,Cornsilk,198,243,226,181,F3E2B5
Benjamin Moore,Barley,199,238,216,165,EED8A5
Benjamin Moore,Westminster,200,232,206,142,E8CE8E
Benjamin Moore,Gold,201,226,197,121,E2C579
Benjamin Moore,Yellowstone,202,223,185,103,DFB967
Benjamin Moore,Fields,203,202,156,67,CA9C43
Benjamin Moore,Woodmont,204,244,236,213,F4ECD5
Benjamin Moore,Simply,205,242,231,204,F2E7CC
Benjamin Moore,Summer,206,239,224,184,EFE0B8
Benjamin Moore,Vellum,207,233,212,162,E9D4A2
Benjamin Moore,Da,208,225,200,136,E1C888
Benjamin Moore,Buena,209,215,188,117,D7BC75
Benjamin Moore,Leap,210,195,159,85,C39F55
Benjamin Moore,Fresh,211,246,238,209,F6EED1
Benjamin Moore,Happy,212,245,233,197,F5E9C5
Benjamin Moore,Harp,213,242,227,176,F2E3B0
Benjamin Moore,Valley,214,235,218,158,EBDA9E
Benjamin Moore,Yosemite,215,226,203,133,E2CB85
Benjamin Moore,California,216,218,192,114,DAC072
Benjamin Moore,Antique,217,195,155,78,C39B4E
Benjamin Moore,Beach,218,243,232,204,F3E8CC
Benjamin Moore,Coronado,219,238,222,184,EEDEB8
Benjamin Moore,Yellow,220,233,215,172,E9D7AC
Benjamin Moore,Golden,221,222,203,155,DECB9B
Benjamin Moore,Mustard,222,206,180,122,CEB47A
Benjamin Moore,El,223,186,154,92,BA9A5C
Benjamin Moore,Grecian,224,159,131,74,9F834A
Benjamin Moore,Chatsworth,225,238,230,207,EEE6CF
Benjamin Moore,Twisted,226,228,218,188,E4DABC
Benjamin Moore,Marble,227,214,201,167,D6C9A7
Benjamin Moore,Shakespeare,228,203,185,141,CBB98D
Benjamin Moore,Grenada,229,189,165,117,BDA575
Benjamin Moore,Pirate's,230,161,140,96,A18C60
Benjamin Moore,Aged,231,128,109,71,806D47
Benjamin Moore,Winter,232,236,228,208,ECE4D0
Benjamin Moore,Cream,233,223,212,188,DFD4BC
Benjamin Moore,Crisp,234,210,198,169,D2C6A9
Benjamin Moore,Oak,235,192,175,141,C0AF8D
Benjamin Moore,Green,236,163,142,103,A38E67
Benjamin Moore,Silken,237,130,112,79,82704F
Benjamin Moore,Urban,238,124,108,79,7C6C4F
Benjamin Moore,Ivory,239,229,221,197,E5DDC5
Benjamin Moore,Delaware,240,222,212,184,DED4B8
Benjamin Moore,Jonesboro,241,211,200,170,D3C8AA
Benjamin Moore,Laurel,242,207,196,165,CFC4A5
Benjamin Moore,Baffin,243,194,183,152,C2B798
Benjamin Moore,Strathmore,244,173,157,125,AD9D7D
Benjamin Moore,Free,245,152,133,103,988567
Benjamin Moore,Westchester,246,242,233,205,F2E9CD
Benjamin Moore,Consentino,247,233,221,187,E9DDBB
Benjamin Moore,Mansfield,248,223,207,167,DFCFA7
Benjamin Moore,Sombrero,249,207,186,134,CFBA86
Benjamin Moore,Porter,250,186,159,101,BA9F65
Benjamin Moore,Seville,251,166,140,85,A68C55
Benjamin Moore,Olivetone,252,151,127,79,977F4F
Benjamin Moore,Natural,253,239,230,200,EFE6C8
Benjamin Moore,Woven,254,230,218,179,E6DAB3
Benjamin Moore,Heirloom,255,219,203,157,DBCB9D
Benjamin Moore,Westwood,256,202,180,123,CAB47B
Benjamin Moore,Honey,257,198,177,120,C6B178
Benjamin Moore,AC-orn,258,178,150,88,B29658
Benjamin Moore,Brazen,259,158,131,71,9E8347
Benjamin Moore,Swans,260,245,235,203,F5EBCB
Benjamin Moore,Norfolk,261,237,228,194,EDE4C2
Benjamin Moore,Golden,262,226,214,171,E2D6AB
Benjamin Moore,Spring,263,219,207,162,DBCFA2
Benjamin Moore,Wandering,264,210,188,130,D2BC82
Benjamin Moore,Gemstone,265,203,179,118,CBB376
Benjamin Moore,Egyptian,266,177,152,86,B19856
Benjamin Moore,Canvas,267,244,236,215,F4ECD7
Benjamin Moore,Oatmeal,268,237,228,203,EDE4CB
Benjamin Moore,Almond,269,232,220,188,E8DCBC
Benjamin Moore,Straw,270,218,202,162,DACAA2
Benjamin Moore,Barley,271,201,178,129,C9B281
Benjamin Moore,Avant,272,194,170,120,C2AA78
Benjamin Moore,Sandalwood,273,178,156,104,B29C68
Benjamin Moore,Santo,274,244,229,183,F4E5B7
Benjamin Moore,Banana,275,235,220,162,EBDCA2
Benjamin Moore,Cambridge,276,235,219,154,EBDB9A
Benjamin Moore,Freedom,277,226,205,130,E2CD82
Benjamin Moore,Angel's,278,211,190,102,D3BE66
Benjamin Moore,Hollywood,279,203,172,86,CBAC56
Benjamin Moore,Renaissance,280,172,144,79,AC904F
Benjamin Moore,Citron̩e,281,244,238,210,F4EED2
Benjamin Moore,Counting,282,248,241,207,F8F1CF
Benjamin Moore,Calla,283,248,237,187,F8EDBB
Benjamin Moore,Copacabana,284,244,229,161,F4E5A1
Benjamin Moore,Treasure,285,231,211,130,E7D382
Benjamin Moore,Luxurious,286,215,190,105,D7BE69
Benjamin Moore,French,287,199,165,72,C7A548
Benjamin Moore,North,288,245,238,205,F5EECD
Benjamin Moore,Pale,289,244,232,191,F4E8BF
Benjamin Moore,Fresh,290,242,224,160,F2E0A0
Benjamin Moore,Laguna,291,236,215,138,ECD78A
Benjamin Moore,Goldfield,292,235,210,129,EBD281
